team,assistor,assisted
MIN,20000749,20000515.0
MIN,20000543,20000605.0
CHA,20000752,20000543.0
MIN,20001431,20000795.0
CHA,20000515,20000749.0
MIN,20000752,20000666.0
CHA,20000882,20000754.0
CHA,20000754,20001396.0
MIN,20000666,20001429.0
MIN,20000501,20000666.0
CHA,20001396,20000882.0
CHA,20000666,20000501.0
MIN,20000666,20001429.0
CHA,20000501,20001396.0
MIN,20001430,20000800.0
CHA,20000800,20001861.0
MIN,20001396,20001429.0
CHA,20001396,20000543.0
MIN,20001430,20001431.0
MIN,20000605,20001431.0
CHA,20000749,20000543.0
MIN,20000517,20000515.0
CHA,20000752,20000617.0
MIN,20000517,20000515.0
CHA,20000795,20000748.0
MIN,20000795,20000515.0
MIN,20000605,20000515.0
CHA,20000749,20000617.0
MIN,20000752,20000795.0
MIN,20000543,20000517.0
MIN,20000795,20000800.0
CHA,20000882,20000748.0
CHA,20000605,20000882.0
CHA,20000882,20001396.0
CHA,20000754,20000882.0
CHA,20001396,20000754.0
CHA,20000501,20000754.0
MIN,20001430,20000799.0
CHA,20000501,20000882.0
MIN,20000882,20001430.0
CHA,20001861,20001396.0
CHA,20000748,20000617.0
CHA,20000617,20001396.0
CHA,20001431,20001396.0
CHA,20000749,20000617.0
MIN,20001431,20000515.0
CHA,20000617,20000882.0
CHA,20000501,20000754.0
NY,20000634,20000592.0
LAC,20000554,20000702.0
LAC,20000702,20000661.0
NY,20000661,20001406.0
NY,20000634,20000788.0
LAC,20000661,20000554.0
LAC,20000661,20000702.0
NY,20000663,20000835.0
NY,20000592,20000634.0
NY,20001022,20000878.0
LAC,20001022,20001850.0
NY,20001446,20000634.0
LAC,20000634,20001869.0
LAC,20000667,20000459.0
NY,20001832,20000677.0
NY,20001022,20000677.0
NY,20000459,20001832.0
LAC,20000459,20001022.0
NY,20001022,20000878.0
LAC,20000835,20001850.0
LAC,20001850,20001446.0
LAC,20000667,20000459.0
NY,20001406,20000522.0
LAC,20000592,20001022.0
NY,20000592,20001406.0
NY,20000592,20000788.0
NY,20000788,20000835.0
NY,20000592,20000835.0
NY,20000661,20000788.0
NY,20000788,20001406.0
NY,20000788,20000634.0
LAC,20000667,20000554.0
NY,20000788,20001406.0
LAC,20000554,20000663.0
NY,20000788,20000634.0
NY,20000634,20001406.0
LAC,20000667,20000702.0
LAC,20000661,20000663.0
LAC,20000667,20000663.0
LAC,20000661,20000554.0
LAC,20000702,20000661.0
NY,20000592,20000522.0
NY,20000592,20000835.0
NY,20000592,20000522.0
LAC,20000459,20001447.0
NY,20000835,20000522.0
LAC,20000634,20000459.0
NY,20001447,20001832.0
LAC,20001447,20001446.0
NY,20000445,20000677.0
NY,20000445,20001863.0
NY,20000445,20000878.0
NY,20000661,20000445.0
LAC,20000661,20000702.0
NY,20000702,20000677.0
NY,20000661,20001406.0
NY,20001406,20000522.0
NY,20000661,20000835.0
LAC,20001406,20000661.0
LAC,20000445,20000663.0
NY,20001022,20000928.0
NY,20001863,20001405.0
NY,20000445,20000928.0
LAC,20000445,20001850.0
LAC,20001799,20001022.0
OKC,20000862,20000875.0
OKC,20000877,20000742.0
OKC,20000784,20000742.0
OKC,20000877,20000875.0
OKC,20000877,20000784.0
OKC,20000742,20000877.0
OKC,20000784,20000876.0
OKC,20000727,20000784.0
NO,20000742,20000524.0
OKC,20000877,20001763.0
NO,20000862,20000524.0
OKC,20000877,20001763.0
NO,20000876,20000691.0
OKC,20001763,20000727.0
NO,20000862,20000474.0
NO,20000691,20000474.0
NO,20000862,20000474.0
NO,20000862,20000691.0
NO,20000468,20000691.0
NO,20000691,20000636.0
NO,20000693,20000468.0
OKC,20000742,20000727.0
NO,20000636,20000468.0
NO,20000877,20000468.0
NO,20000530,20000862.0
OKC,20000742,20000784.0
NO,20000474,20000862.0
NO,20000530,20000468.0
OKC,20000877,20000875.0
NO,20000530,20000862.0
OKC,20000877,20000875.0
OKC,20000468,20001436.0
OKC,20000468,20000784.0
OKC,20000877,20000742.0
OKC,20000877,20000875.0
NO,20000474,20000862.0
NO,20000530,20000468.0
NO,20000530,20000474.0
NO,20000691,20000693.0
NO,20001763,20000693.0
NO,20000691,20000524.0
NO,20000693,20000691.0
NO,20000877,20000476.0
NO,20000468,20000693.0
NO,20000468,20000636.0
NO,20000727,20000468.0
NO,20000742,20000693.0
NO,20000742,20000693.0
NO,20000693,20000468.0
NO,20000693,20000691.0
NO,20000727,20000474.0
OKC,20000468,20001763.0
OKC,20000875,20000877.0
NO,20000530,20000468.0
OKC,20000530,20000875.0
NO,20000530,20000524.0
OKC,20000742,20000875.0
NO,20000877,20000468.0
OKC,20000524,20000742.0
OKC,20000468,20000875.0
OKC,20000877,20000742.0
OKC,20000877,20000742.0
NO,20000530,20000468.0
OKC,20000474,20000742.0
OKC,20000537,20000784.0
OKC,20000524,20000784.0
OKC,20000877,20000875.0
WAS,20000441,20000848.0
MIL,20000497,20000519.0
MIL,20000441,20000519.0
MIL,20000850,20000502.0
WAS,20000850,20000441.0
MIL,20000441,20000500.0
WAS,20000442,20000441.0
MIL,20000443,20000500.0
MIL,20000443,20000850.0
WAS,20000519,20000443.0
WAS,20000442,20000441.0
WAS,20000442,20000441.0
WAS,20000497,20000848.0
WAS,20000625,20000443.0
MIL,20001701,20000519.0
WAS,20000625,20000443.0
MIL,20000497,20001013.0
WAS,20000443,20000440.0
MIL,20001013,20001667.0
WAS,20000850,20000443.0
WAS,20000850,20000625.0
MIL,20001667,20001730.0
WAS,20000737,20000443.0
WAS,20000441,20001393.0
WAS,20000441,20000737.0
MIL,20000500,20000502.0
MIL,20000850,20000497.0
WAS,20000440,20000848.0
MIL,20001701,20000502.0
MIL,20000502,20000497.0
WAS,20000442,20000441.0
MIL,20000502,20000850.0
MIL,20000497,20000519.0
WAS,20000440,20000442.0
WAS,20000442,20000440.0
WAS,20000443,20000848.0
MIL,20000500,20000502.0
MIL,20000497,20001730.0
WAS,20000440,20000443.0
WAS,20000441,20000440.0
MIL,20001013,20001730.0
WAS,20000443,20000820.0
WAS,20000625,20000820.0
WAS,20000820,20001393.0
WAS,20000442,20001393.0
MIL,20001393,20000500.0
WAS,20000497,20000737.0
MIL,20000440,20000502.0
MIL,20000500,20000850.0
WAS,20000441,20000440.0
MIL,20000443,20000850.0
WAS,20000443,20000441.0
MIL,20000519,20000850.0
MIL,20000442,20000500.0
MEM,20001873,20000642.0
MEM,20000773,20001873.0
MEM,20000773,20000633.0
POR,20000619,20000620.0
MEM,20000526,20000633.0
MEM,20001873,20000526.0
MEM,20000633,20000472.0
POR,20001438,20000621.0
POR,20000773,20000619.0
POR,20000773,20001438.0
POR,20000621,20001438.0
MEM,20000633,20000472.0
POR,20000707,20000620.0
POR,20000775,20000621.0
POR,20000472,20000620.0
MEM,20000775,20000864.0
MEM,20000620,20001444.0
POR,20000775,20000620.0
MEM,20000707,20000472.0
MEM,20000775,20001873.0
MEM,20000773,20000633.0
POR,20000773,20000775.0
MEM,20000619,20000472.0
MEM,20000762,20000642.0
MEM,20000642,20000773.0
POR,20000642,20000827.0
POR,20000472,20000620.0
MEM,20000773,20000526.0
POR,20000633,20000620.0
MEM,20000633,20000472.0
POR,20000472,20000762.0
MEM,20000526,20001873.0
POR,20000619,20000686.0
MEM,20000633,20000773.0
MEM,20000619,20000633.0
POR,20000633,20000686.0
POR,20000526,20000827.0
MEM,20000633,20000642.0
POR,20000762,20000686.0
POR,20000619,20000827.0
MEM,20000773,20000642.0
MEM,20000472,20000864.0
POR,20001685,20000621.0
POR,20000642,20000707.0
MEM,20000633,20000864.0
MEM,20000472,20000633.0
MEM,20000620,20001685.0
MEM,20000633,20000864.0
POR,20000864,20000621.0
POR,20000775,20000762.0
MEM,20000642,20000633.0
POR,20000619,20000827.0
MEM,20000526,20000773.0
MEM,20000762,20000642.0
MEM,20000775,20000633.0
MEM,20000472,20000642.0
POR,20000773,20000762.0
MEM,20000773,20000472.0
MIL,20000850,20000502.0
MIL,20000500,20000519.0
DAL,20000527,20001909.0
MIL,20001909,20000502.0
DAL,20001909,20000629.0
DAL,20000629,20000483.0
DAL,20001826,20001732.0
DAL,20000629,20000539.0
MIL,20000497,20000500.0
DAL,20000629,20000483.0
DAL,20000531,20000629.0
DAL,20000534,20000539.0
DAL,20000531,20000527.0
DAL,20000531,20000539.0
MIL,20000534,20000500.0
MIL,20000531,20000519.0
MIL,20001701,20001013.0
DAL,20000531,20000527.0
DAL,20000531,20001732.0
DAL,20000531,20001477.0
MIL,20000497,20001701.0
DAL,20000850,20001826.0
DAL,20000629,20000483.0
DAL,20000502,20000483.0
